03.07.01.03 Volynskite
03.07.01.04 Zlatogorite
03.07.02.01 Trechmannite
03.07.03.01 Smithite
03.07.03.02 Miargyrite
03.07.04.01 Aramayoite
03.07.04.02 Baumstarkite
03.07.05.01 Chalcostibite
03.07.05.02 Emplectite
03.07.06.01 Lorandite
03.07.07.01 Weissbergite
03.07.08.01 Sartorite
03.07.08.02 Guettardite
03.07.08.03 Twinnite
03.07.08.04 Marumoite
03.07.09.01 Galenobismutite
03.07.09.02 Sakharovaite
03.07.09.03 Berthierite
03.07.09.04 Garavellite
03.07.09.05 Clerite
03.07.10.01 Simonite
03.07.10.02 Edenharterite
03.07.10.03 Jentschite
03.07.10.04 Sicherite
03.07.11.01 Livingstonite
03.07.11.02 Grumiplucite
03.07.12.01 Rathite
03.07.13.01 Nordstromite
03.07.14.01 Junoite
03.07.14.02 Felbertalite
03.07.15.01 Vrbaite
03.07.16.01 Rohaite
03.07.17.01 Dervillite
03.07.18.01 Watkinsonite
03.07.19.01 Schapbachite
03.07.20.01 Chenguodaite
03.08.01.01 Zinkenite
03.08.01.02 Pillaite
03.08.01.03 Pellouxite
03.08.01.04 Tazieffite
03.08.02.01 Cuprobismutite
03.08.02.02 Kupcikite
03.08.03.01 Tvalchrelidzeite
03.08.04.01 Hodrushite
03.08.04.02 Paderaite
03.08.06.01 Hutchinsonite
03.08.07.01 Pierrotite
03.08.08.01 Gerstleyite
03.08.09.01 Gillulyite
03.08.10.01 Pavonite
03.08.10.02 Makovickyite
03.08.10.03 Benjaminite
03.08.10.04 Mummeite
03.08.10.05 Borodaevite
03.08.10.06 Cupropavonite
03.08.10.07 Cupromakovickyite
03.08.10.08 Kudriavite
03.08.10.09 IMA2008-058
03.08.10.10 IMA2005-036
03.08.11.01 Ustarasite
03.08.12.01 Chabourneite
03.08.13.01 Rebulite
03.08.13.02 Jankovicite
03.08.14.01 Parapierrotite
03.08.14.02 Bernardite
03.08.15.01 Vaughanite
03.08.16.01 Scainiite
03.08.16.02 Marrucciite
03.08.17.01 Paarite
03.09.01.01 Criddleite
03.09.02.01 Cuboargyrite
04.00.00.00 Chubutite
04.01.01.01 Cuprite
04.01.02.01 Ice
04.01.03.01 Methane hydrate-I
04.01.03.02 Methane hydrate-II
04.01.03.03 Methane hydrate-H
04.02.01.01 Periclase
04.02.01.02 Bunsenite
04.02.01.03 Manganosite
04.02.01.04 Monteponite
04.02.01.05 Lime
04.02.01.06 Wustite
04.02.01.07 Hongquiite
04.02.02.01 Zincite
04.02.02.02 Bromellite
04.02.03.01 Tenorite
04.02.04.01 Litharge
04.02.05.01 Romarchite
04.02.06.01 Montroydite
04.02.07.01 Massicot
04.03.01.01 Corundum
04.03.01.02 Hematite
04.03.01.03 Eskolaite
04.03.01.04 Karelianite
04.03.01.05 Tistarite
04.03.02.01 Akdalaite
04.03.02.02 Ferrihydrite
04.03.03.01 Perovskite
04.03.03.02 Latrappite
04.03.03.03 LopariteCe
04.03.03.04 Lueshite
04.03.03.05 Tausonite
04.03.03.06 Isolueshite
04.03.03.07 Barioperovskite
04.03.03.08 Lakargiite
04.03.04.01 Natroniobite
04.03.05.01 Ilmenite
04.03.05.02 Geikielite
04.03.05.03 Pyrophanite
04.03.05.04 Ecandrewsite
04.03.05.05 Melanostibite
04.03.05.06 Brizziite-III
04.03.05.07 Akimotoite
04.03.06.01 Macedonite
04.03.07.01 Maghemite
04.03.07.02 Bixbyite
04.03.08.01 Avicennite
04.03.09.01 Arsenolite
04.03.09.02 Senarmontite
04.03.10.01 Claudetite
04.03.10.02 Bismite
04.03.10.03 Stibioclaudetite
04.03.11.01 Valentinite
04.03.12.01 Sillenite
04.03.13.01 Sphaerobismoite
04.03.13.02 Chrombismite
04.04.01.01 Rutile
04.04.01.02 Ilmenorutile
